2D Materials	2D Mater.
Alcoholism and Drug Addiction	Alcohol. Drug Addict.
Alcoholism: Clinical and Experimental Research	Alcohol.: Clin. Exp. Res.
Aldrichimica Acta	Aldrichimica Acta
Alexandria Engineering Journal	Alexandria Eng. J.
Alexandria Journal of Agricultural Research	Alexandria J. Agric. Res.
Alexandria Journal of Medicine	Alexandria J. Med.
Alexandria Journal of Veterinary Sciences	Alexandria J. Vet. Sci.
Algal Research	Algal Res.
Algebra Colloquium	Algebra Colloq.
Algebraic Geometry	Algebraic Geom.
Algorithmic Finance	Algorithmic Finance
Algorithms for Molecular Biology	Algorithms Mol. Biol.
Alimentary Pharmacology & Therapeutics	Aliment. Pharmacol. Ther.
All Life	All Life
Allelopathy Journal	Allelopathy J.
Allgemeine Forst und Jagdzeitung	Allg. Forst Jagdztg.
Alpine Botany	Alp. Bot.
Alpine Entomology	Alp. Entomol.
Alternatives to Laboratory Animals	Altern. Lab. Anim.
AMBIO: A Journal of the Human Environment	AMBIO
American Anthropologist	Am. Anthropol.
American Association of Petroleum Geologists Bulletin	Am. Assoc. Pet. Geol. Bull.
American Bee Journal	Am. Bee. J.
American Biology Teacher	Am. Biol. Teach.
American Ceramic Society Bulletin	Am. Ceram. Soc. Bull.
American Chemical Journal	Am. Chem. J.
American Christmas Tree Journal	Am. Christmas Tree J.
American Entomologist	Am. Entomol.
American Fern Journal	Am. Fern J.
American Industrial Hygiene Association Journal	Am. Ind. Hyg. Assoc. J.
American Journal of Agricultural Economics	Am. J. Agric. Econ.
American Journal of Alternative Agriculture	Am. J. Altern. Agric.
American Journal of Anatomy	Am. J. Anat.
American Journal of Biochemistry and Biotechnology	Am. J. Biochem. Biotechnol.
American Journal of Bioethics	Am. J. Bioethics
American Journal of Botany	Am. J. Bot.
American Journal of Clinical Nutrition	Am. J. Clin. Nutr.
American Journal of Clinical Pathology	Am. J. Clin. Pathol.
American Journal of Drug and Alcohol Abuse	Am. J. Drug Alcohol Abuse
American Journal of Food Technology	Am. J. Food Technol.
American Journal of Forensic Medicine and Pathology	Am. J. Forensic Med. Pathol.
American Journal of Health System Pharmacy	Am. J. Health Syst. Pharm.
American Journal of Health System Pharmacy	Am. J. Health-Syst. Pharm.
American Journal of Hematology	Am. J. Hematol.
American Journal of Human Biology	Am. J. Hum. Biol.
American Journal of Human Genetics	Am. J. Hum. Genet.
American Journal of Hypertension	Am. J. Hypertens.
American Journal of Industrial Medicine	Am. J. Ind. Med.
American Journal of Mathematical and Management Sciences	Am. J. Math. Manage. Sci.
American Journal of Mathematics	Am. J. Math.
American Journal of Medical Genetics	Am. J. Med. Genet.
American Journal of Medical Genetics Part A	Am. J. Med. Genet. Part A
American Journal of Medical Genetics Part B: Neuropsychiatric Genetics	Am. J. Med. Genet. Part B: Neuropsychiatr. Genet.
American Journal of Medical Genetics Part C: Seminars in Medical Genetics	Am. J. Med. Genet. Part C: Semin. Med. Genet.
American Journal of Mining and Metallurgy	Am. J. Min. Metall.
American Journal of Neuroprotection and Neuroregeneration	Am. J. Neuroprot. Neuroregener.
American Journal of Nuclear Medicine and Molecular Imaging	Am. J. Nucl. Med. Mol. Imaging
American Journal of Pathology	Am. J. Pathol.
American Journal of Pharmacology and Toxicology	Am. J. Pharmacol. Toxicol.
American Journal of Physical Anthropology	Am. J. Phys. Anthropol.
American Journal of Physics	Am. J. Phys.
American Journal of Phytomedicine and Clinical Therapeutics	Am. J. Phytomed. Clin. Ther.
American Journal of Plant Science	Am. J. Plant Sci.
American Journal of Potato Research	Am. J. Potato Res.
American Journal of Primatology	Am. J. Primatol.
American Journal of Reproductive Immunology and Microbiology	Am. J. Reprod. Immunol. Microbiol.
American Journal of Respiratory Cell and Molecular Biology	Am. J. Respir. Cell Mol. Biol.
American Journal of Science	Am. J. Sci.
American Journal of Sports Medicine	Am. J. Sports Med.
American Journal of Surgical Pathology	Am. J. Surg. Pathol.
American Journal of the Medical Sciences	Am. J. Med. Sci.
American Journal of Tropical Medicine and Hygiene	Am. J. Trop. Med. Hyg.
American Journal on Addictions	Am. J. Addict.
American Laboratory	Am. Lab.
American Malacological Bulletin	Am. Malacol. Bull.
American Mathematical Monthly	Am. Math. Mon.
American Midland Naturalist	Am. Midl. Nat.
American Mineralogist	Am. Mineral.
American Museum Novitates	Am. Mus. Novit.
American Naturalist	Am. Nat.
American Scientist	Am. Sci.
American Statistician	Am. Stat.
American Zoologist	Am. Zool.
Amino Acids	Amino Acids
Ammonia Plant Safety and Related Facilities	Ammonia Plant Saf. Relat. Facil
Amphibia-Reptilia	Amphibia-Reptilia
Analele Universitatii Bucurersti. Chimie	Ann. Univ. Buc. Chim.
Anales de la Asociacion Quimica Argentina	An. Asoc. Quim. Argent.
Anales de Quimica	An. Quim.
Analysis & PDE	Anal. PDE
Analysis & Sensing	Anal. Sens.
Analysis and Applications	Anal. Appl.
Analysis and Mathematical Physics	Anal. Math. Phys.
Analytic Methods in Accident Research.	Anal. Methods Accid. Res
Analytica Chimica Acta	Anal. Chim. Acta
Analytica Chimica Acta: X	Anal. Chim. Acta: X
Analytical and Bioanalytical Chemistry	Anal. Bioanal. Chem.
Analytical and Bioanalytical Chemistry	Anal. Bioanal.Chem.
Analytical Biochemistry	Anal. Biochem.
Analytical Cellular Pathology	Anal. Cell. Pathol.
Analytical Chemistry	Anal. Chem.
Analytical Chemistry Insights	Anal. Chem. Insights
Analytical Chemistry Letters	Anal. Chem. Lett.
Analytical Chemistry Research	Anal. Chem. Res.
Analytical Communications	Anal. Commun.
Analytical Letters	Anal. Lett.
Analytical Letters	Anal. Lett.
Analytical Methods	Anal. Methods
Analytical Proceedings	Anal. Proc.
Analytical Proceedings including Analytical Communications	Anal. Proc. incl. Anal. Commun.
Analytical Science Advances	Anal. Sci. Adv.
Analytical Sciences	Anal. Sci.
"Anatomia, Histologia, Embryologia"	Anatom. Histol. Embryol.
Anatomical Record	Anat. Rec.
"Anatomical Record Part A: Discoveries in Molecular, Cellular, and Evolutionary Biology"	Anat. Rec. Part A
Anatomical Record Part B: The Anatomist	Anat. Rec. Part B
Anatomical Science International	Anat. Sci. Int.
Anatomical Sciences Education	Anat. Sci. Educ.
Ancient Biomolecules	Ancient Biomol.
Andean Geology	Andean Geol.
Angewandte Chemie International Edition	Angew. Chem. Int. Ed.
Angewandte Makromolekulare Chemie	Angew. Makromol. Chem.
Animal - Open Space	Anim. Open Space
Animal Behaviour	Anim. Behav.
Animal Behaviour Monographs	Anim. Behav. Monogr.
Animal Biodiversity and Conservation	Anim. Biodivers. Conserv.
Animal Biotechnology	Anim. Biotechnol.
Animal Biotelemetry	Anim. Biotelem.
Animal Cells and Systems	Anim. Cells Syst
Animal Cognition	Anim. Cognit.
Animal Conservation	Anim. Conserv.
Animal Diseases	Anim. Dis.
Animal Feed Science and Technology	Anim. Feed Sci. Technol.
Animal Frontiers	Anim. Front.
Animal Gene	Anim. Gene
Animal Genetics	Anim. Genet.
Animal Health Research Reviews	Anim. Health Res. Rev.
Animal Models and Experimental Medicine	Anim. Models Exp. Med.
Animal Nutrition	Anim. Nutr.
Animal Nutrition and Feed Technology	Anim. Nutr. Feed Technol.
Animal Production Science	Anim. Prod. Sci.
Animal Reproduction	Anim. Reprod.
Animal Reproduction Science	Anim. Reprod. Sci.
Animal Science	Anim. Sci.
Animal Science and Technology	Anim. Sci. Technol.
Animal Science Journal	Anim. Sci. J.
Animal Science Papers and Reports	Anim. Sci. Pap. Rep.
Animal Welfare	Anim. Welfare
Annalen der Pharmacie	Ann. Pharm.
Annalen der Physik	Ann. Phys.
Annales Botanici Fennici	Ann. Botan. Fenn.
Annales de Biochimie Clinque du Quebec	Ann. Biochim. Clin. Que.
Annales de Biologie Clinique	Ann. Biol. Clin.
Annales de Biologie Clinique du Quebec	Ann. Biol. Clin. Que.
Annales de Chimie	Ann. Chim.
Annales de Chimie Analytique et Revue de Chimie Analytique Reunies	Ann. Chim. Anal. Rev. Chim. Anal. Reunies
Annales de Chimie Science des Materiaux	Ann. Chim. Sci. Mat.
Annales de la Societe Entomologique de France	Ann. Soc. Entomol. France
Annales de le Institue Fourier	Ann. Inst. Fourier
Annales de Limnologie	Ann. Limnol.
Annales de l'Institut Pasteur Microbiologie	Ann. Inst. Pasteur Microbiol.
Annales de l'Institute Henri Poincare	Ann. Inst. Henri Poincare
Annales de l'Institute Henri Poincare C	Ann. Inst. Henri Poincare C
Annales de l'Institute Henri Poincare D	Ann. Inst. Henri Poincare D
Annales de Paleontologie	Ann. Paleontol
Annales de Toxicologie Analytique	Ann. Toxicol. Anal.
Annales des Composites	Ann. Compos.
Annales des Ponts et Chausses	Ann. Ponts Chaussees
Annales des Sciences Naturelles - Zoologie et Biologie Animale	Ann. Sci. Nat. Zool. Biol. Anim.
Annales Entomologici Fennici	Ann. Entomol. Fenn.
Annales Geophysicae	Ann. Geophys.
Annales Hydrographiques	Ann. Hydrogr.
Annales Mathematiques du Quebec	Ann. Math. Que.
Annales Pharmaceutiques Francaises	Ann. Pharm. Fr.
Annales Scientifiques de le Ecole Normale Superieure	Ann. Sci. Ec. Norm. Super.
Annales Zoologici	Ann. Zool.
Annales Zoologici Fennici	Ann. Zool. Fenn.
Annali della Scuola Normale Superiore di Pisa Classe di Scienze	Ann. Sc. Norm. Super. Pisa Cl. Sci.
Annali di Chimica	Anal. Chim.
Annali di Chimica	Ann. Chim. (Rome)
Annali di Geofisica	Ann. Geofis.
Annali di Matematica Pura ed Applicata	Ann. Mat. Pura Appl.
Annals Chimie Analytique	Ann. Chim. Anal.
Annals of 3D Printed Medicine	Ann. 3D Print. Med.
Annals of 3D Printing in Medicine	Ann. 3D Print. Med.
Annals of Agrarian Science	Ann. Agrar. Sci.
Annals of Agricultural Sciences	Ann. Agric. Sci.
Annals of Animal Science	Ann. Anim. Sci.
Annals of Applied Biology	Ann. Appl. Biol.
Annals of Biomedical Engineering	Ann. Biomed. Eng.
Annals of Botany	Ann. Bot.
Annals of Carnegie Museum	Ann. Carnegie Mus.
Annals of Clinical and Translational Neurology	Ann. Clin. Transl. Neurol.
Annals of Clinical Biochemistry	Ann. Clin. Biochem.
Annals of Forest Research	Ann. For. Res.
Annals of Forest Science	Ann. For. Sci.
Annals of Functional Analysis	Ann. Funct. Anal.
Annals of GIS	Ann. Gis
Annals of Glaciology	Ann. Glaciol.
Annals of Global Analysis and Geometry	Ann. Global Anal. Geom.
Annals of Hematology	Ann. Hematol.
Annals of Hepatology	Ann. Hepatol.
Annals of Human Biology	Ann. Hum. Biol.
Annals of Human Genetics	Ann. Hum. Genet.
Annals of Mathematical Logic	Ann. Math. Logic
Annals of Mathematics and Artificial Intelligence	Ann. Math. Artif. Intell.
Annals of Microbiology	Ann. Microbiol.
Annals of Neurology	Ann. Neurol.
Annals of Neurosciences	Ann. Neurosci.
Annals of Nuclear Engineering	Ann. Nucl. Eng.
Annals of Nuclear Science and Engineering	Ann. Nucl. Sci. Eng.
Annals of Occupational Hygiene	Ann. Occup. Hyg.
Annals of Pharmacotherapy	Ann. Pharmacother.
Annals of Physics	Ann. Phys.
Annals of Plant Protection Sciences	Ann. Plant Prot. Sci.
Annals of Pure and Applied Logic	Ann. Pure Appl. Logic
Annals of Science	Ann. Sci.
Annals of Solid and Structural Mechanics	Ann. Solid Struct. Mech.
Annals of Telecommunications	Ann. Telecommun.
Annals of the American Association of Geographers	Ann. Am. Assoc. Geogr.
Annals of the Entomological Society of America	Ann. Entomol. Soc. Am.
Annals of the ICRP	Ann. ICRP
Annals of the Missouri Botanical Garden	Ann. Mo. Bot. Gard.
Annals of the New York Academy of Sciences	Ann. N. Y. Acad. Sci.
Annals of Work Exposures and Health	Ann. Work Exposures Health
"Annual Reports - Royal Society of Chemistry, Section Section A: Inorganic Chemistry"	Annu. Rep. R. Soc. Chem. Sect. A: Inorg. Chem.
"Annual Reports - Royal Society of Chemistry, Section Section B: Organic Chemistry"	Annu. Rep. R. Soc. Chem. Sect. B. Org. Chem.
"Annual Reports - Royal Society of Chemistry, Section Section C: Physical Chemistry"	Annu. Rep. R. Soc. Chem. Sect. C. Phys. Chem.
Annual Reports in Medicinal Chemistry	Annu. Rep. Med. Chem.
Annual Reports on Analytical Atomic Spectroscopy	Annu. Rep. Anal. At. Spectrosc.
"Annual Reports on the Progress of Chemistry, Section A: Inorganic Chemistry"	Annu. Rep. Prog. Chem. Sect. A: Inorg. Chem.
"Annual Reports on the Progress of Chemistry, Section B: Organic Chemistry"	Annu. Rep. Prog. Chem. Sect. B: Org. Chem.
"Annual Reports on the Progress of Chemistry, Section C: Physical Chemistry"	Annu. Rep. Prog. Chem. Sect. C: Phys. Chem.
Annual Review in Control	Annu. Rev. Control
Annual Review of Analytical Chemistry	Annu. Rev. Anal. Chem.
Annual Review of Animal Biosciences	Annu. Rev. Anim. Biosci.
Annual Review of Astronomy and Astrophysics	Annu. Rev. Astron. Astrophys.
Annual Review of Biochemistry	Annu. Rev. Biochem.
Annual Review of Biomedical Data Science	Annu. Rev. Biomed. Data Sci.
Annual Review of Biomedical Engineering	Annu. Rev. Biomed. Eng.
Annual Review of Biophysics	Annu. Rev. Biophys.
Annual Review of Cancer Biology	Annu. Rev. Cancer Biol.
Annual Review of Cell and Developmental Biology	Annu. Rev. Cell Dev. Biol.
Annual Review of Chemical and Biomolecular Engineering	Annu. Rev. Chem. Biomol. Eng.
Annual Review of Clinical Psychology	Annu. Rev. Clin. Psychol.
Annual Review of Computer Science	Annu. Rev. Comput. Sci.
Annual Review of Condensed Matter Physics	Annu. Rev. Condens. Matter Phys.
"Annual Review of Control, Robotics, and Autonomous Systems"	Annu. Rev. Control Rob. Auton. Syst.
Annual Review of Developmental Psychology	Annu. Rev. Dev. Psychol.
Annual Review of Earth and Planetary Sciences	Annu. Rev. Earth Planet. Sci.
"Annual Review of Ecology, Evolution, and Systematics"	Annu. Rev. Ecol. Evol. Syst.
Annual Review of Energy and the Environment	Annu. Rev. Energy Env.
Annual Review of Entomology	Annu. Rev. Entomol.
Annual Review of Environment and Resources	Annu. Rev. Environ. Resour.
Annual Review of Fluid Mechanics	Annu. Rev. Fluid Mech.
Annual Review of Food Science and Technology	Annu. Rev. Food Sci. Technol.
Annual Review of Genetics	Annu. Rev. Genet.
Annual Review of Genomics and Human Genetics	Annu. Rev. Genomics Hum. Genet.
Annual Review of Immunology	Annu. Rev. Immunol.
Annual Review of Marine Science	Annu. Rev. Mar. Science
Annual Review of Materials Research	Annu. Rev. Mater. Res.
Annual Review of Materials Science	Annu. Rev. Mater. Sci.
Annual Review of Medicine	Annu. Rev. Med.
Annual Review of Microbiology	Annu. Rev. Microbiol.
Annual Review of Neuroscience	Annu. Rev. Neurosci.
Annual Review of Nuclear and Particle Science	Annu. Rev. Nucl. Part. Sci.
Annual Review of Nutrition	Annu. Rev. Nutr.
Annual Review of Pathology: Mechanisms of Disease	Annu. Rev. Pathol.: Pathol. Mech. Dis.
Annual Review of Pharmacology and Toxicology	Annu. Rev. Pharmacol. Toxicol.
Annual Review of Physical Chemistry	Annu. Rev. Phys. Chem.
Annual Review of Physiology	Annu. Rev. Physiol.
Annual Review of Phytopathology	Annu. Rev. Phytopathol.
Annual Review of Plant Biology	Annu. Rev. Plant Biol.
Annual Review of Plant Physiology	Annu. Rev. Plant Physiol.
Annual Review of Psychology	Annu. Rev. Psychol.
Annual Review of Public Health	Annu. Rev. Public Health
Annual Review of Statistics and Its Application	Annu. Rev. Stat. Appl.
Annual Review of Virology	Annu. Rev. Virol.
Annual Review of Vision Science	Annu. Rev. Vision Sci.
Annual Reviews in Control	Annu. Rev. Control
Antarctic Science	Antarct. Sci.
Anthropocene Coasts	Anthropocene Coasts
Anthropocene Review	Anthropocene Rev.
Anthropocene Science	Anthropocene Sci.
Anthropology & Archeology of Eurasia	Anthropol. Archeol. Eurasia
Anthropology & Medicine	Anthropol. Med.
Anthropology Today	Anthropol. Today
Antibody Therapeutics	Antibody Ther.
Anti-Cancer Agents in Medicinal Chemistry	Anti-Cancer Agents Med. Chem.
Anti-Cancer Drug Design	Anti-Cancer Drug Des.
Anticancer Research	Anticancer Res.
Anti-Corrosion Methods and Materials	Anti-Corros. Methods Mater.
Antimicrobial Agents and Chemotherapy	Antimicrob. Agents Chemother.
Antimicrobial Stewardship and Healthcare Epidemiology	Antimicrob. Stewardship Healthcare Epidemiol.
Antioxidants & Redox Signaling	Antioxid. Redox Signaling
Antisense and Nucleic Acid Drug Development	Antisense Nucleic Acid Drug Dev.
Antiviral Chemistry and Chemotherapy	Antiviral Chem. Chemother.
Antonie van Leeuwenhoek	Antonie van Leeuwenhoek
ANZIAM Journal	ANZIAM J.
ANZIAM Journal	ANZIAM J.
AoB Plants	AoB Plants
APCBEE Procedia	APCBEE Procedia
APL Bioengineering	APL Bioeng.
APL Energy	APL Energy
APL Machine Learning	APL Mach. Learn.
APL Materials	APL Mater.
APL Photonics	APL Photonics
APL Quantum	APL Quantum
APL: Organic Electronics and Photonics	APL: Org. Electron. Photonics
APPEA Journal	APPEA J.
Appita Journal	Appita J.
Appled Entomology and Zoology	Appl. Entomol. Zool.
"Applicable Algebra in Engineering, Communication and Computing"	Appl. Algebra Eng. Commun. Comput.
Applicable Analysis	Appl. Anal.
Applicable Analysis and Discrete Mathematics	Appl. Anal. Discrete Math.
Application of Mathematics	Appl. Math.
Applications and Applied Mathematics	Appl. Appl. Math.
Applications in Energy and Combustion Science	Appl. Energy Combust. Sci.
Applications in Engineering Science	Appl. Eng. Sci.
Applications in Plant Sciences	Appl. Plant Sci.
Applications of Mathematics	Appl. Math.
Applications of Surface Science	Appl. Surf. Sci.
Applied & Translational Genomics	Appl. Transl. Genomics
Applied Accoustics	Appl. Acoust.
Applied Adhesion Science	Appl. Adhes. Sci.
Applied and Computational Harmonic Analysis	Appl. Comput. Harmon. Anal.
Applied and Environmental Microbiology	Appl. Environ. Microbiol.
Applied and Environmental Soil Science	Appl. Environ. Soil Sci.
Applied and Translational Geonomics	Appl. Transl. Geonomics
Applied Animal Behaviour Science	Appl. Anim. Behav. Sci.
Applied Animal Ethology	Appl. Anim. Ethol.
Applied Animal Science	Appl. Anim. Sci.
Applied Artifical Intelligence	Appl. Artif. Intell.
Applied Biochemistry and Biotechnology	Appl. Biochem. Biotechnol.
Applied Biochemistry and Microbiology	Appl. Biochem. Microbiol.
Applied Bioinformatics	Appl. Bioinf.
Applied Biological Chemistry	Appl. Biol. Chem.
Applied Bionics and Biomechanics	Appl. Bionics Biomech.
Applied Biosafety	Appl. Biosaf.
Applied Catalysis	Appl. Catal.
Applied Catalysis A: General	"Appl. Catal., A"
